Date,Open,High,Low,Close,Volume
8/13/2019,185.52,191.38,185.37,188.45,"13,653,320"
8/12/2019,186.85,187.59,184.46,185.37,"10,936,280"
8/9/2019,190,190.98,187.12,187.85,"11,058,810"
8/8/2019,186.62,190.34,184.05,190.16,"14,828,920"
8/7/2019,183.6,186.37,181.22,185.15,"15,833,200"
8/6/2019,183.69,185.79,183.09,184.51,"18,035,689"
8/5/2019,184.69,185.67,179.34,181.73,"23,086,660"
8/2/2019,191.1,192.62,188.07,189.02,"15,296,980"
8/1/2019,194.17,198.47,190.88,192.73,"17,777,010"
7/31/2019,196.95,198.76,192.68,194.23,"14,593,540"
7/30/2019,195.39,198.71,193.5,197.04,"11,903,560"
7/29/2019,199,199.63,195.3,195.94,"16,530,801"
7/26/2019,200.19,202.88,196.25,199.75,"24,433,990"
7/25/2019,206.7,208.66,198.26,200.71,"39,889,871"
7/24/2019,197.63,204.81,197.22,204.66,"32,532,539"
7/23/2019,202.84,204.24,200.96,202.36,"14,583,680"
7/22/2019,199.91,202.57,198.81,202.32,"13,589,020"
7/19/2019,202.18,202.33,198.07,198.36,"12,098,260"
7/18/2019,200.15,202.47,199.38,200.78,"11,956,550"
7/17/2019,204.18,204.36,201.59,201.8,"12,083,710"
7/16/2019,203.89,205.47,203.1,203.84,"12,132,720"
7/15/2019,204.25,205.33,201.82,203.91,"16,030,340"
7/12/2019,199.68,205.3,199.16,204.87,"15,366,270"
7/11/2019,203.26,203.8,200.21,201.23,"13,678,460"
7/10/2019,200,202.96,199.67,202.73,"20,571,699"
7/9/2019,194.97,199.46,194.89,199.21,"14,698,610"
7/8/2019,195.19,196.68,193.64,195.76,"9,723,858"
7/5/2019,196.18,197.07,194.17,196.4,"11,164,110"
7/3/2019,194.16,197.4,194.16,197.2,"10,246,120"
7/2/2019,193,195,192.71,195,"9,049,979"
7/1/2019,195.21,195.28,191.93,193,"14,204,690"
6/28/2019,190.55,193.2,189.94,193,"16,378,880"
6/27/2019,189.88,189.95,188.27,189.5,"11,158,980"
6/26/2019,189.54,190.76,187.31,187.66,"12,808,600"
6/25/2019,192.88,193.14,188.13,188.84,"16,750,311"
6/24/2019,192.42,193.98,191.57,192.6,"15,508,960"
6/21/2019,188.75,192,188.75,191.14,"22,751,160"
6/20/2019,190.95,191.16,187.64,189.53,"14,635,740"
6/19/2019,187,188.1,184.55,187.48,"21,417,090"
6/18/2019,194,194.53,187.28,188.47,"37,571,352"
6/17/2019,185.01,189.5,184.41,189.01,"29,459,881"
6/14/2019,180.51,181.84,180,181.33,"16,773,689"
6/13/2019,175.53,178.03,174.61,177.47,"12,253,570"
6/12/2019,178.38,179.27,172.88,175.04,"17,699,811"
6/11/2019,178.48,179.98,176.79,178.1,"15,266,640"
6/10/2019,174.75,177.86,173.8,174.82,"14,767,920"
6/7/2019,170.17,173.87,168.84,173.35,"16,917,340"
6/6/2019,168.3,169.7,167.23,168.33,"12,446,350"
6/5/2019,167.48,168.72,164.63,168.17,"19,758,320"
6/4/2019,163.71,168.28,160.84,167.5,"46,044,262"
6/3/2019,175,175.05,161.01,164.15,"56,059,609"
5/31/2019,180.28,180.54,177.16,177.47,"15,226,540"
5/30/2019,183.08,183.48,180.89,183.01,"8,581,544"
5/29/2019,183.5,184.56,181.35,182.19,"12,797,690"
5/28/2019,181.54,184.71,181.45,184.31,"14,843,310"
5/24/2019,182.33,183.63,180.83,181.06,"8,807,701"
5/23/2019,182.42,183.9,179.67,180.87,"12,768,840"
5/22/2019,184.73,186.74,183.61,185.32,"9,213,801"
5/21/2019,184.57,185.7,183.89,184.82,"7,502,820"
5/20/2019,181.88,184.23,181.37,182.72,"10,351,980"
5/17/2019,184.84,187.58,184.28,185.3,"10,485,370"
5/16/2019,185.05,188.58,185.05,186.99,"12,953,110"
5/15/2019,180.42,187.28,180.02,186.27,"16,746,900"
5/14/2019,182.52,183.49,178.1,180.73,"17,628,141"
5/13/2019,183.5,185.43,180.84,181.54,"16,833,350"
5/10/2019,188.25,190,184.59,188.34,"12,578,510"
5/9/2019,187.2,189.77,186.26,188.65,"12,967,030"
5/8/2019,189.39,190.72,188.55,189.54,"12,505,740"
5/7/2019,192.54,192.9,187.85,189.77,"16,253,000"
5/6/2019,191.24,194.28,190.55,193.88,"13,994,930"
5/3/2019,194.38,196.16,193.71,195.47,"14,575,430"
5/2/2019,193,194,189.75,192.53,"13,209,450"
5/1/2019,194.78,196.18,193.01,193.03,"15,996,650"
4/30/2019,194.19,197.39,192.28,193.4,"23,494,689"
4/29/2019,190.95,195.41,190.65,194.78,"19,641,311"
4/26/2019,192.5,192.9,189.09,191.49,"22,075,000"
4/25/2019,196.98,198.48,192.12,193.26,"54,148,793"
4/24/2019,184.49,185.14,181.65,182.58,"37,289,871"
4/23/2019,182.74,184.22,181.48,183.78,"19,954,811"
4/22/2019,178.25,181.67,178.25,181.44,"13,389,890"
4/18/2019,178.8,178.88,177.34,178.28,"11,655,610"
4/17/2019,179.6,180.74,178.36,178.78,"9,973,732"
4/16/2019,179,180.17,178.3,178.87,"11,215,190"
4/15/2019,178.5,180.5,176.87,179.65,"10,834,760"
4/12/2019,178,179.63,177.95,179.1,"12,329,810"
4/11/2019,178.24,178.4,177,177.51,"8,070,967"
4/10/2019,178.18,178.79,176.54,177.82,"11,701,480"
4/9/2019,175.62,179.19,175.55,177.58,"19,751,029"
4/8/2019,175.21,175.5,174.23,174.93,"7,297,379"
4/5/2019,176.88,177,175.1,175.72,"9,594,133"
4/4/2019,176.02,178,175.53,176.02,"17,847,730"
4/3/2019,174.5,177.96,172.95,173.54,"27,590,061"
4/2/2019,170.14,174.9,169.55,174.2,"23,946,529"
4/1/2019,167.83,168.9,167.28,168.7,"10,381,490"
3/29/2019,166.39,167.19,164.81,166.69,"13,455,450"
3/28/2019,164.57,166.72,163.33,165.55,"10,689,170"
3/27/2019,167.85,168.94,164.79,165.87,"10,620,300"
3/26/2019,167.35,169.45,166.35,167.68,"15,437,920"
3/25/2019,163,166.54,162,166.29,"12,631,230"
3/22/2019,165.65,167.42,164.09,164.34,"16,389,189"
3/21/2019,164.89,166.39,163.75,166.08,"16,223,010"
3/20/2019,161.5,166.12,161.24,165.44,"20,211,471"
3/19/2019,161.48,163.82,160.82,161.57,"25,611,490"
3/18/2019,163.57,163.9,159.28,160.47,"37,524,191"
3/15/2019,167.16,167.58,162.51,165.98,"37,126,000"
3/14/2019,169.76,171.15,168.16,170.17,"18,037,359"
3/13/2019,172.32,174.03,172.12,173.37,"11,973,280"
3/12/2019,172.09,173.8,171.22,171.92,"12,155,260"
3/11/2019,171.6,174.3,171.58,172.07,"18,883,980"
3/8/2019,166.2,169.62,165.97,169.6,"13,184,830"
3/7/2019,171.5,171.74,167.61,169.13,"18,306,500"
3/6/2019,172.9,173.57,171.27,172.51,"21,531,721"
3/5/2019,167.37,171.88,166.55,171.26,"28,187,891"
3/4/2019,163.9,167.5,163.83,167.37,"18,894,689"
3/1/2019,162.6,163.13,161.69,162.28,"11,097,770"
2/28/2019,162.37,163.5,160.86,161.45,"11,114,190"
2/27/2019,162.9,163.93,160.41,162.81,"12,697,490"
2/26/2019,164.34,166.24,163.8,164.13,"13,784,060"
2/25/2019,163.07,166.07,162.9,164.62,"18,737,109"
2/22/2019,160.58,162.41,160.31,161.89,"15,858,470"
2/21/2019,161.93,162.24,159.59,160.04,"15,607,830"
2/20/2019,162.25,163.72,161.25,162.56,"11,770,690"
2/19/2019,160.5,164.15,160.33,162.29,"14,345,390"
2/15/2019,164.51,164.7,160.86,162.5,"15,504,420"
2/14/2019,163.19,164.87,162.25,163.95,"12,755,150"
2/13/2019,165.38,166.22,163.73,164.07,"14,205,150"
2/12/2019,166.86,168.34,164.5,165.04,"16,292,290"
2/11/2019,167.9,168.3,165.08,165.79,"12,811,180"
2/8/2019,164.47,167.37,164.21,167.33,"12,561,420"
2/7/2019,168.2,169.24,165.25,166.38,"17,517,609"
2/6/2019,171.2,172.47,169.27,170.49,"13,281,160"
2/5/2019,169.15,171.98,168.69,171.16,"22,556,990"
2/4/2019,165.7,169.3,163.62,169.25,"20,036,471"
2/1/2019,165.84,169.1,165.66,165.71,"30,806,510"
1/31/2019,165.6,171.68,165,166.69,"77,233,602"
1/30/2019,146.22,150.95,145.7,150.42,"44,613,238"
1/29/2019,148.09,148.1,143.43,144.19,"17,631,949"
1/28/2019,148.05,148.96,146.21,147.47,"15,508,480"
1/25/2019,147.48,149.83,146.54,149.01,"22,250,949"
1/24/2019,144.64,146.44,142.52,145.83,"20,955,520"
1/23/2019,148.28,148.8,143.06,144.3,"20,098,420"
1/22/2019,149.2,151.53,146.37,147.57,"22,378,689"
1/18/2019,149.75,152.43,148.55,150.04,"31,029,609"
1/17/2019,146.95,149,146.5,148.3,"15,787,910"
1/16/2019,149,149.65,147,147.54,"18,025,711"
1/15/2019,146.01,150.68,145.99,148.95,"24,068,820"
1/14/2019,142,146.57,141.27,145.39,"20,520,279"
1/11/2019,143.15,145.36,142.57,143.8,"12,908,030"
1/10/2019,143.08,144.56,140.84,144.2,"16,125,000"
1/9/2019,142.95,144.7,141.27,144.23,"22,205,881"
1/8/2019,139.89,143.14,139.54,142.53,"26,263,789"
1/7/2019,137.56,138.87,135.91,138.05,"20,089,340"
1/4/2019,134.01,138,133.75,137.95,"29,002,061"
1/3/2019,134.69,137.17,131.12,131.74,"22,717,949"
1/2/2019,128.99,137.51,128.56,135.68,"28,146,189"
